Episode: 669
Title: HPR0669: QSK Netcast 6: The Origin of Open Source
Source: https://hub.hackerpublicradio.org/ccdn.php?filename=/eps/hpr0669/hpr0669.mp3
Transcribed: 2025-10-08 00:43:34

---

You're listening to syndicated Thursday on Hacker Public Radio.
Today we're going to take an episode from the QSK neckcast, originally aired on October
15, 2010.
This is a talk that Ros gave at the Ohio Linux Fest 2010, and it's entitled The Origins
of Open Source.
And it's apt that we're talking about Linux Fest, as I would like to take a moment to
ask you for some help.
The Linux Fest northwest is going ahead in Bellingham, Washington, on the 30th of April
to the 1st of May, 2011.
And we are going to be represented by a booth.
You can get more information at the northeastlinxfest.org.
And we would like some help in finding people to come and join our team at the tables,
and some finding, some equipment, and if you have any more ideas for tables.
If you would like to have more information about this, if you can go to the Hacker Public
Radio.org website, and hopefully we'll have some information available for you there.
So if you would like, if you're in the Washington area, anywhere near this festival, it would
be a cool festival to attend, and if you're interested in helping us out and meeting
some of the hosts here at HBR, please feel free to come up and say hello.
There's going to be stickers and possibly some business cards available for you on the
day.
We're actually running competition for business cards that are going to be hopefully
printed and distributed over there on that day.
So if you are good with art in any way and want to put some together, the front, we can
have ten, a hundred different versions for the front of the business cards.
So if you want to make your mark on HBR, now is a green to do it.
And now, back to the show.
Welcome to the Black Sparrow video, you don't have broadcast network.
So we're going to do a little bit more of that, and we're going to do a little bit more
of that.
So we're going to do a little bit more of that, and we're going to do a little bit more
of that.
So here's this topic for a few words, and I have to clarify what I did.
It's a very rigorous kind of story, it's such a lost date.
You know, most people almost forgot something about it already, and don't need to have an
hash report or a booklet.
If you do, well, you may know it's something like this.
You can do a brief examination of the methodology that I have in this course.
So I'm going to give you a little bit more of that, and I'm going to give you a little bit
of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
I'm going to give you a little bit more of that.
